HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"Chua SU Muon Street, Suoi DA Hamlet, Đảo Phú Quốc Việt Nam",0,0,,,,Tre Vang Hotel,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Tre Vang Hotel có điểm du lịch nổi tiếng nào?, ",,0,,0,"1,5",0,,Đảo Phú Quốc,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d9980489-Reviews-Tre_Vang_Hotel-Phu_Quoc_Island_Kien_Giang_Province.html
"To 4 Ap, Ganh Gio, Đảo Phú Quốc Việt Nam",0,0,,,,Bebe Homestay Phu Quoc,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Bebe Homestay Phu Quoc có điểm du lịch nổi tiếng nào?, ",,0,,0,NA,0,,Ganh Gio,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g23164148-d23349613-Reviews-Bebe_Homestay_Phu_Quoc-Ganh_Gio_Phu_Quoc_Island_Kien_Giang_Province.html
"Đuong Cach Mang Thang 8, Khu Pho 10, TT Duong Đong, Phu Quoc, Kien Giang, Đảo Phú Quốc Việt Nam",3,40,,,,Nha Nghi Quoc Hai,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Nha Nghi Quoc Hai có điểm du lịch nổi tiếng nào?, ",,0,,0,NA,21,,Đảo Phú Quốc,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d23314701-Reviews-Nha_Nghi_Quoc_Hai-Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Dormstay Riverside,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,NA,0,,Cua Can,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g6483321-d20950080-Reviews-Dormstay_Riverside-Cua_Can_Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,20,,,Sweethome Resort & Spa,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Sweethome Resort & Spa có những tiện nghi tại cơ sở kinh doanh gì?, ,Sweethome Resort & Spa có những lựa chọn đồ ăn & đồ uống gì?, ,Sweethome Resort & Spa có chỗ đỗ xe không?, ,Tôi có thể tập thể dục tại Sweethome Resort & Spa không?, ",20,0,,0,NA,0,,24,,,12,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d12741892-Reviews-Sweethome_Resort_Spa-Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Anmi House,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,NA,0,,Suoi May,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g15234442-d21398407-Reviews-Anmi_House-Suoi_May_Phu_Quoc_Island_Kien_Giang_Province.html
"313 - 314, Duong Suoi May, Suoi May, Đảo Phú Quốc Việt Nam",0,0,,,,Nha Cua Ca,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Nha Cua Ca có điểm du lịch nổi tiếng nào?, ,Gần Nha Cua Ca có nhà hàng nào?, ",,0,,0,NA,0,,Suoi May,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g15234442-d23308036-Reviews-Nha_Cua_Ca-Suoi_May_Phu_Quoc_Island_Kien_Giang_Province.html
"172/8 30/4 Street, Dương Đông, Đảo Phú Quốc Việt Nam",4,78,,,,Sky Garden Resort,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Sky Garden Resort có điểm du lịch nổi tiếng nào?, ,Sky Garden Resort có những tiện nghi tại cơ sở kinh doanh gì?, ,Gần Sky Garden Resort có nhà hàng nào?, ,Tôi có thể tập thể dục tại Sky Garden Resort không?, ",,2 đánh giá,Số 56 trong 58 khách sạn nhỏ tại Dương Đông,10,"2,0",36,Kinh khủng,20,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d6583895-Reviews-Sky_Garden_Resort-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"Thửa Đất Số 568, Tờ Bản Đồ Số 17 Tổ 5 Ấp, Suoi May, Đảo Phú Quốc Việt Nam",0,0,,,,Suối Mây Garden Resort And Spa,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Suối Mây Garden Resort And Spa có điểm du lịch nổi tiếng nào?, ,Gần Suối Mây Garden Resort And Spa có nhà hàng nào?, ",,0,,0,NA,0,,Suoi May,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g15234442-d23344787-Reviews-Su_i_May_Garden_Resort_And_Spa-Suoi_May_Phu_Quoc_Island_Kien_Giang_Province.html
"1 Tran Hung Dao, Dương Đông, Đảo Phú Quốc Việt Nam",3,52,,"Tiếng Việt, Tiếng Anh",,Quoc Thang Hotel,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Quoc Thang Hotel có điểm du lịch nổi tiếng nào?, ,Quoc Thang Hotel có những tiện nghi tại cơ sở kinh doanh gì?, ,Quoc Thang Hotel có những tiện nghi phòng gì?, ,Quoc Thang Hotel có chỗ đỗ xe không?, ,Gần Quoc Thang Hotel có nhà hàng nào?, ,Quoc Thang Hotel có dịch vụ dọn phòng không?, ",,0,,0,NA,26,,38,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d9784042-Reviews-Quoc_Thang_Hotel-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"Lane 127 Tran Hung Dao, Dương Đông, Đảo Phú Quốc Việt Nam",2,49,,,,Loc Nguyen Bungalow,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Loc Nguyen Bungalow có điểm du lịch nổi tiếng nào?, ,Loc Nguyen Bungalow có những tiện nghi phòng gì?, ",,0,,0,NA,32,,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d12848738-Reviews-Loc_Nguyen_Bungalow-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"Km 9, Phu Hai,, Mũi Né, Phan Thiết Việt Nam",0,0,1084,Tiếng Việt,,Khu nghỉ dưỡng Victoria Phan Thiết,3.818.182 ₫,2.022.727 ₫,"2.022.727 ₫, - ,3.818.182 ₫","Gần Khu nghỉ dưỡng Victoria Phan Thiết có điểm du lịch nổi tiếng nào?, ,Khu nghỉ dưỡng Victoria Phan Thiết có những tiện nghi tại cơ sở kinh doanh gì?, ,Khu nghỉ dưỡng Victoria Phan Thiết có những tiện nghi phòng gì?, ,Khu nghỉ dưỡng Victoria Phan Thiết có những lựa chọn đồ ăn & đồ uống gì?, ,Khu nghỉ dưỡng Victoria Phan Thiết có chỗ đỗ xe không?, ,Gần Khu nghỉ dưỡng Victoria Phan Thiết có nhà hàng nào?, ,Tôi có thể tập thể dục tại Khu nghỉ dưỡng Victoria Phan Thiết không?, ,Khu nghỉ dưỡng Victoria Phan Thiết có dịch vụ đưa đón tại sân bay không?, ,Khu nghỉ dưỡng Victoria Phan Thiết có dịch vụ dọn phòng không?, ,Khu nghỉ dưỡng Victoria Phan Thiết có cung cấp dịch vụ doanh nghiệp nào không?, ,Khu nghỉ dưỡng Victoria Phan Thiết có tầm nhìn đẹp không?, ",386,771 đánh giá,Xếp thứ 1 trong 11 khu nghỉ dưỡng tại Mũi Né,45,"4,0",0,Tuyệt vời,57,"Yên tĩnh,Công tác",,270,https://www.tripadvisor.com.vn/Hotel_Review-g1009804-d306939-Reviews-Victoria_Phan_Thiet_Beach_Resort_Spa-Mui_Ne_Phan_Thiet_Binh_Thuan_Province.html
"Suoi Da, Duong To, Dương Đông, Đảo Phú Quốc Việt Nam",4,78,,Tiếng Việt,,Tre Vang Hotel Phu Quoc,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Tre Vang Hotel Phu Quoc có điểm du lịch nổi tiếng nào?, ,Tre Vang Hotel Phu Quoc có những tiện nghi tại cơ sở kinh doanh gì?, ,Tre Vang Hotel Phu Quoc có những tiện nghi phòng gì?, ,Tre Vang Hotel Phu Quoc có những lựa chọn đồ ăn & đồ uống gì?, ,Tre Vang Hotel Phu Quoc có chỗ đỗ xe không?, ,Gần Tre Vang Hotel Phu Quoc có nhà hàng nào?, ,Tre Vang Hotel Phu Quoc có dịch vụ đưa đón tại sân bay không?, ,Tre Vang Hotel Phu Quoc có dịch vụ đưa đón tại sân bay không?, ",,0,,0,NA,36,,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d10151188-Reviews-Tre_Vang_Hotel_Phu_Quoc-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"65 Hàng Điếu Q. Hoàn Kiếm, Hà Nội 100000 Việt Nam",157,100,137,,,Khách sạn Hà Nội Art Boutique,1.477.273 ₫,1.022.727 ₫,"1.022.727 ₫, - ,1.477.273 ₫","Gần Khách sạn Hà Nội Art Boutique có điểm du lịch nổi tiếng nào?, ,Khách sạn Hà Nội Art Boutique có những tiện nghi tại cơ sở kinh doanh gì?, ,Khách sạn Hà Nội Art Boutique có những tiện nghi phòng gì?, ,Khách sạn Hà Nội Art Boutique có những lựa chọn đồ ăn & đồ uống gì?, ,Khách sạn Hà Nội Art Boutique có chỗ đỗ xe không?, ,Gần Khách sạn Hà Nội Art Boutique có nhà hàng nào?, ,Khách sạn Hà Nội Art Boutique có dịch vụ đưa đón tại sân bay không?, ,Khách sạn Hà Nội Art Boutique có dịch vụ đưa đón tại sân bay không?, ,Khách sạn Hà Nội Art Boutique có nằm gần trung tâm thành phố không?, ,Khách sạn Hà Nội Art Boutique có dịch vụ dọn phòng không?, ,Có di tích lịch sử nào gần Khách sạn Hà Nội Art Boutique không?, ",83,772 đánh giá,Số 2 trong 52 khách sạn đặc biệt tại Hà Nội,50,NA,502,Tuyệt vời,30,"Hiện đại,Nằm ở vị trí trung tâm",,18,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d3850105-Reviews-Hanoi_Art_Boutique_Hotel-Hanoi.html
"193, Duong 30/4, Dương Đông, Đảo Phú Quốc Việt Nam",18,65,,Tiếng Việt,,Thanh Nam Guesthouse,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Thanh Nam Guesthouse có điểm du lịch nổi tiếng nào?, ,Thanh Nam Guesthouse có những tiện nghi tại cơ sở kinh doanh gì?, ,Thanh Nam Guesthouse có những tiện nghi phòng gì?, ,Thanh Nam Guesthouse có chỗ đỗ xe không?, ,Gần Thanh Nam Guesthouse có nhà hàng nào?, ",,0,,0,NA,92,,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d12249203-Reviews-Thanh_Nam_Guesthouse-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"18 Tran Hung Dao, Dương Đông, Đảo Phú Quốc Việt Nam",15,66,,,,Kim Hong Phuong Guesthouse,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Kim Hong Phuong Guesthouse có điểm du lịch nổi tiếng nào?, ,Gần Kim Hong Phuong Guesthouse có nhà hàng nào?, ",,0,,0,NA,67,,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d12505347-Reviews-Kim_Hong_Phuong_Guesthouse-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"13 Nguyen Trung Truc, Dương Đông, Đảo Phú Quốc Việt Nam",15,66,,,,Nhu Thao Motel,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Nhu Thao Motel có điểm du lịch nổi tiếng nào?, ,Nhu Thao Motel có những tiện nghi tại cơ sở kinh doanh gì?, ,Nhu Thao Motel có những tiện nghi phòng gì?, ,Nhu Thao Motel có chỗ đỗ xe không?, ",,0,,0,NA,67,,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d12165756-Reviews-Nhu_Thao_Motel-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"Alley 326 Nguyen Trung Truc Street, Dương Đông, Đảo Phú Quốc Việt Nam",0,0,,"Tiếng Việt, Tiếng Anh, Tiếng Trung",,Huu Phat Guesthouse,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Huu Phat Guesthouse có điểm du lịch nổi tiếng nào?, ,Huu Phat Guesthouse có những tiện nghi tại cơ sở kinh doanh gì?, ,Huu Phat Guesthouse có chỗ đỗ xe không?, ,Gần Huu Phat Guesthouse có nhà hàng nào?, ,Huu Phat Guesthouse có dịch vụ đưa đón tại sân bay không?, ,Huu Phat Guesthouse có dịch vụ đưa đón tại sân bay không?, ,Huu Phat Guesthouse có cho phép vật nuôi không?, ",,0,,0,NA,0,,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d10426201-Reviews-Huu_Phat_Guesthouse-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"7 Chu Van An, Khu Pho 5, Dương Đông, Đảo Phú Quốc Việt Nam",3,53,,,,Phong Nha Hotel Phu Quoc,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Phong Nha Hotel Phu Quoc có điểm du lịch nổi tiếng nào?, ,Phong Nha Hotel Phu Quoc có những tiện nghi tại cơ sở kinh doanh gì?, ,Phong Nha Hotel Phu Quoc có những tiện nghi phòng gì?, ,Phong Nha Hotel Phu Quoc có chỗ đỗ xe không?, ",,0,,0,NA,12,,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d12140108-Reviews-Phong_Nha_Hotel_Phu_Quoc-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"Group 4, Cua Lap, Dương Đông, Đảo Phú Quốc Việt Nam",15,90,,"Tiếng Việt, Tiếng Anh",,Culyt Huong Tra,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Culyt Huong Tra có điểm du lịch nổi tiếng nào?, ,Culyt Huong Tra có những tiện nghi tại cơ sở kinh doanh gì?, ,Culyt Huong Tra có những tiện nghi phòng gì?, ,Culyt Huong Tra có chỗ đỗ xe không?, ,Gần Culyt Huong Tra có nhà hàng nào?, ,Culyt Huong Tra có cho phép vật nuôi không?, ",,0,,0,NA,62,,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d12553235-Reviews-Culyt_Huong_Tra-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"118 Đường Trần Hưng Đạo Khu Phố 7, Đảo Phú Quốc Việt Nam",8,76,,,,Luxy Park Hotel - Phu Quoc Romantic Sunset,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Luxy Park Hotel - Phu Quoc Romantic Sunset có điểm du lịch nổi tiếng nào?, ",,3 đánh giá,Số 24 trong 31 khách sạn tại Đảo Phú Quốc,35,NA,42,Rất tốt,Đảo Phú Quốc,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d21222661-Reviews-Luxy_Park_Hotel_Phu_Quoc_Romantic_Sunset-Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Morning Hotel Phu Quoc,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,NA,0,,11,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d21066092-Reviews-Morning_Hotel_Phu_Quoc-Phu_Quoc_Island_Kien_Giang_Province.html
"101 Tran Hung Dao, KP7, Dương Đông, Đảo Phú Quốc Việt Nam",6,78,,,,New Sun Phu Quoc Hotel,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần New Sun Phu Quoc Hotel có điểm du lịch nổi tiếng nào?, ",,1 đánh giá,Số 47 trong 58 khách sạn nhỏ tại Dương Đông,30,"2,0",63,Trung bình,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d12296738-Reviews-New_Sun_Phu_Quoc_Hotel-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"19 Le Thi Hong Gam, Dương Đông, Đảo Phú Quốc Việt Nam",2,40,,,,031 Hostel & Coffee,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần 031 Hostel & Coffee có điểm du lịch nổi tiếng nào?, ,031 Hostel & Coffee có những tiện nghi tại cơ sở kinh doanh gì?, ,031 Hostel & Coffee có những lựa chọn đồ ăn & đồ uống gì?, ,031 Hostel & Coffee có chỗ đỗ xe không?, ,Gần 031 Hostel & Coffee có nhà hàng nào?, ",,1 đánh giá,Xếp thứ 23 trong 26 nhà trọ tại Dương Đông,20,NA,41,Tồi,24,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d15589183-Reviews-031_Hostel_Coffee-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"Tran Hung Dao, Cua Lap, Dương Đông, Đảo Phú Quốc Việt Nam",4,86,,Tiếng Anh,,Hong Khoi Guesthouse,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Hong Khoi Guesthouse có điểm du lịch nổi tiếng nào?, ,Hong Khoi Guesthouse có những tiện nghi phòng gì?, ",,0,,0,NA,39,,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d10784874-Reviews-Hong_Khoi_Guesthouse-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Kim Thanh Phat Guesthouse,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,NA,0,,Đảo Phú Quốc,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d21030880-Reviews-Kim_Thanh_Phat_Guesthouse-Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Khách sạn Vnhanya,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,NA,0,,Dương Tơ,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184676-d23521572-Reviews-Vnhanya_hotel-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
"Đường 22, Khu Tổ Hợp Du Lịch Sonasea Villa & Resort, Dương Tơ, Đảo Phú Quốc Việt Nam",0,0,,,,Funnyhotel,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Funnyhotel có nhà hàng nào?, ",,0,,0,NA,0,,Dương Tơ,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184676-d21505953-Reviews-Funnyhotel-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
"Tran Hung Dao Duong Dong, Dương Tơ, Đảo Phú Quốc Việt Nam",0,0,,,,Ori Hotel Phu Quoc,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Ori Hotel Phu Quoc có điểm du lịch nổi tiếng nào?, ,Gần Ori Hotel Phu Quoc có nhà hàng nào?, ",,0,,0,NA,0,,Dương Tơ,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184676-d21155370-Reviews-Ori_Hotel_Phu_Quoc-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Sealiving Bungalow,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,NA,0,,Dương Tơ,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184676-d23657099-Reviews-Sealiving_Bungalow-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Chez Hill Phu Quoc,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,NA,0,,Dương Tơ,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184676-d12448805-Reviews-Chez_Hill_Phu_Quoc-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Berlin Hotel,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,"3,0",0,,Dương Tơ,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184676-d22979594-Reviews-Berlin_Hotel-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Ancient Village Phu Quoc Resort,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,NA,0,,Dương Tơ,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184676-d23638676-Reviews-Ancient_Village_Phu_Quoc_Resort-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Phu Quoc Beach Hotel & Spa,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,NA,0,,Dương Tơ,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184676-d23618911-Reviews-Phu_Quoc_Beach_Hotel_Spa-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
"63/04 Đường Trần Hưng Đạo, Dương Đông, Đảo Phú Quốc 920000 Việt Nam",2,82,,,,Maison Hotel,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Maison Hotel có điểm du lịch nổi tiếng nào?, ",,0,,0,NA,39,,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d23243525-Reviews-Maison_Hotel-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"V50 and V51 Lot SV12 Sonasea Road 01 Sonasea Villas and Resorts 2 Tourism Complex, Group 5, Dương Tơ, Đảo Phú Quốc Việt Nam",0,0,,,,Seahorse Phú Quốc,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Seahorse Phú Quốc có nhà hàng nào?, ",,0,,0,NA,0,,Dương Tơ,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184676-d23321361-Reviews-Seahorse_Phu_Qu_c-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Hang Ha Hotel,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,NA,0,,Dương Tơ,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184676-d21031521-Reviews-Hang_Ha_Hotel-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
"Tổ 8, Ap Chuồng Vích, Ganh Dau, Đảo Phú Quốc 91000 Việt Nam",0,0,,,,Sea Breeze Resort Phu Quoc,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Sea Breeze Resort Phu Quoc có điểm du lịch nổi tiếng nào?, ,Sea Breeze Resort Phu Quoc có những tiện nghi tại cơ sở kinh doanh gì?, ,Sea Breeze Resort Phu Quoc có những lựa chọn đồ ăn & đồ uống gì?, ,Sea Breeze Resort Phu Quoc có chỗ đỗ xe không?, ,Gần Sea Breeze Resort Phu Quoc có nhà hàng nào?, ,Tôi có thể tập thể dục tại Sea Breeze Resort Phu Quoc không?, ,Sea Breeze Resort Phu Quoc có dịch vụ đưa đón tại sân bay không?, ,Sea Breeze Resort Phu Quoc có cho phép vật nuôi không?, ",,0,,0,NA,0,,12,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g12666019-d20200015-Reviews-Sea_Breeze_Resort_Phu_Quoc-Ganh_Dau_Phu_Quoc_Island_Kien_Giang_Province.html
"07A Tran Hung Dao, Khu 1, Dương Đông, Đảo Phú Quốc Việt Nam",11,88,,,,Khach San Le Giang,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Khach San Le Giang có điểm du lịch nổi tiếng nào?, ",,0,,0,NA,49,,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d23266735-Reviews-Khach_San_Le_Giang-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Le Giang Villa,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,"2,0",0,,3,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d21316687-Reviews-Le_Giang_Villa-Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Island Villa Resort,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,1 đánh giá,Số 3 trong 3 B&B tại Đảo Phú Quốc,10,NA,0,Kinh khủng,20,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d649158-Reviews-Island_Villa_Resort-Phu_Quoc_Island_Kien_Giang_Province.html
"82 Duong Tran Hung Dao, Dương Đông, Đảo Phú Quốc Việt Nam",3,84,,,,Thuan Phat Hotel,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Thuan Phat Hotel có điểm du lịch nổi tiếng nào?, ",,0,,0,NA,36,,Dương Đông,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d21222294-Reviews-Thuan_Phat_Hotel-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
"To 6 Ap Rach Ham. Xa Ham Ninh, Đảo Phú Quốc Việt Nam",0,0,,,,Suoi tien bungalow,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Suoi tien bungalow có điểm du lịch nổi tiếng nào?, ,Gần Suoi tien bungalow có nhà hàng nào?, ",,0,,0,NA,0,,Đảo Phú Quốc,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d23268082-Reviews-Suoi_tien_bungalow-Phu_Quoc_Island_Kien_Giang_Province.html
"Bai Truong, Đảo Phú Quốc Việt Nam",55,36,,,,Sun Viet Phu Quoc Hotel,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc","Gần Sun Viet Phu Quoc Hotel có điểm du lịch nổi tiếng nào?, ,Gần Sun Viet Phu Quoc Hotel có nhà hàng nào?, ",,0,,0,NA,293,,Đảo Phú Quốc,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d21187492-Reviews-Sun_Viet_Phu_Quoc_Hotel-Phu_Quoc_Island_Kien_Giang_Province.html
,0,0,,,,Cassia Cottage Resort,Đảo Phú Quốc,Việt Nam,"Việt Nam,Tỉnh Kiên Giang,Đảo Phú Quốc",,,0,,0,NA,0,,Đảo Phú Quốc,,,0,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d23502473-Reviews-Cassia_Cottage_Resort-Phu_Quoc_Island_Kien_Giang_Province.html
